                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2001,                 2.8095,                  2.463,                0.20159,                0.32168,                0.16405,                0.07234,                 2.0986,                 2.6861,                 2.3596,             0.00065278,             0.00065278,             0.00065278
                      2,                 1.8071,                 2.1745,                 1.9823,                 0.6249,                0.37762,                0.45077,                0.19823,                 1.9683,                 2.1021,                 2.2379,              0.0013107,              0.0013107,              0.0013107
                      3,                 1.7425,                  1.992,                 1.8867,                0.59137,                0.38462,                0.41249,                0.22561,                 1.8459,                 2.3063,                  1.986,              0.0019599,              0.0019599,              0.0019599
                      4,                 1.6507,                 1.8874,                 1.8598,                0.75512,                0.38462,                0.51387,                0.30534,                 1.6995,                 1.7454,                 1.8869,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.6501,                 1.7963,                 1.7872,                0.56016,                0.40079,                0.41493,                0.23733,                 1.8145,                 2.1073,                 2.0592,              0.0019472,              0.0019472,              0.0019472
                      6,                 1.5688,                 1.7286,                  1.737,                0.68242,                0.44056,                0.54232,                0.33618,                 1.4844,                 1.6917,                 1.7126,               0.001934,               0.001934,               0.001934
                      7,                 1.5635,                 1.7671,                 1.7327,                0.66414,                0.52448,                0.60528,                0.35743,                 1.6323,                 1.4516,                 1.8791,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.5785,                 1.6871,                 1.7298,                0.46124,                0.39161,                0.38066,                0.21367,                 2.0427,                 2.5383,                 2.3757,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.4848,                 1.5881,                 1.6698,                 0.7171,                0.58497,                0.65412,                0.42198,                 1.3489,                 1.4355,                 1.6644,              0.0018944,              0.0018944,              0.0018944
                     10,                 1.4902,                 1.5766,                 1.6566,                0.62999,                0.58342,                0.63562,                0.39657,                   1.39,                  1.417,                 1.6395,              0.0018812,              0.0018812,              0.0018812
                     11,                 1.5045,                 1.5189,                 1.6659,                0.74728,                0.55944,                0.62199,                0.39065,                 1.4684,                 1.4912,                 1.7388,               0.001868,               0.001868,               0.001868
                     12,                 1.4557,                 1.4732,                 1.6301,                0.63396,                0.58136,                0.62055,                0.35096,                 1.6882,                 1.5902,                 1.8692,              0.0018548,              0.0018548,              0.0018548
                     13,                 1.4595,                 1.5418,                 1.6664,                0.59486,                0.59554,                0.63602,                0.37646,                 1.5165,                 1.4595,                 1.7403,              0.0018416,              0.0018416,              0.0018416
                     14,                 1.4665,                  1.573,                 1.6621,                 0.7178,                0.55944,                0.65625,                0.41925,                 1.4544,                 1.4353,                 1.6931,              0.0018284,              0.0018284,              0.0018284
                     15,                 1.4344,                 1.4641,                 1.6064,                0.72158,                0.58042,                 0.6544,                0.43058,                 1.4524,                 1.3164,                 1.6373,              0.0018152,              0.0018152,              0.0018152
                     16,                 1.4196,                  1.471,                 1.5944,                0.69064,                0.70253,                0.71192,                0.46813,                 1.3519,                 1.2393,                 1.6002,               0.001802,               0.001802,               0.001802
                     17,                  1.387,                 1.4626,                 1.5914,                0.77065,                0.59441,                0.73421,                 0.5024,                 1.2255,                  1.343,                 1.5223,              0.0017888,              0.0017888,              0.0017888
                     18,                 1.4186,                 1.4294,                 1.6016,                0.73388,                0.54545,                0.65088,                0.43186,                 1.3652,                 1.3314,                  1.599,              0.0017756,              0.0017756,              0.0017756
                     19,                 1.3657,                  1.375,                 1.5638,                0.78611,                0.63636,                 0.7441,                0.53457,                 1.1972,                 1.2578,                 1.4735,              0.0017624,              0.0017624,              0.0017624
                     20,                 1.3195,                 1.3745,                 1.5407,                0.70737,                0.59166,                0.67792,                0.46249,                 1.3693,                 1.3324,                 1.6158,              0.0017492,              0.0017492,              0.0017492
                     21,                 1.3347,                 1.3645,                 1.5535,                0.80138,                 0.6014,                0.74412,                0.52815,                 1.1306,                 1.1201,                 1.4068,               0.001736,               0.001736,               0.001736
                     22,                 1.2875,                 1.3587,                 1.5264,                0.75153,                0.62937,                0.72956,                0.48979,                 1.2831,                 1.3315,                 1.5833,              0.0017228,              0.0017228,              0.0017228
                     23,                    1.3,                 1.3078,                 1.5204,                0.78705,                0.60839,                0.74996,                0.53939,                 1.1656,                 1.2072,                 1.4223,              0.0017096,              0.0017096,              0.0017096
                     24,                 1.3599,                 1.3475,                 1.5653,                0.68796,                0.53964,                 0.6502,                0.44392,                 1.2344,                 1.2924,                 1.4931,              0.0016964,              0.0016964,              0.0016964
                     25,                 1.3259,                 1.3815,                 1.5251,                0.78957,                0.58741,                0.72139,                0.46966,                 1.1977,                 1.2418,                 1.5142,              0.0016832,              0.0016832,              0.0016832
                     26,                 1.3198,                 1.3382,                 1.5375,                0.86605,                0.56643,                0.72468,                0.50256,                 1.2135,                  1.119,                 1.4717,                0.00167,                0.00167,                0.00167
                     27,                 1.3142,                 1.2537,                 1.4805,                0.77302,                0.71329,                0.79335,                0.53937,                 1.2066,                 1.1244,                  1.536,              0.0016568,              0.0016568,              0.0016568
                     28,                 1.2719,                 1.2837,                 1.4777,                0.78769,                0.67133,                0.81417,                0.56965,                 1.0903,                 1.0012,                  1.446,              0.0016436,              0.0016436,              0.0016436
                     29,                 1.2608,                  1.231,                   1.49,                0.68532,                0.62443,                0.70079,                0.43901,                 1.3162,                 1.3273,                  1.583,              0.0016304,              0.0016304,              0.0016304
                     30,                 1.2598,                  1.279,                 1.4846,                0.86219,                0.65035,                 0.8021,                0.56442,                 1.1108,                0.99496,                  1.425,              0.0016172,              0.0016172,              0.0016172
                     31,                 1.2102,                 1.2096,                 1.4691,                0.65941,                 0.6993,                0.76893,                0.55735,                  1.146,                 1.0377,                 1.4361,               0.001604,               0.001604,               0.001604
                     32,                 1.3167,                 1.2535,                 1.5174,                0.77996,                0.71329,                 0.7958,                0.55121,                 1.1596,                 1.0057,                 1.4508,              0.0015908,              0.0015908,              0.0015908
                     33,                 1.2381,                 1.2069,                 1.4586,                0.80026,                0.70045,                0.81569,                0.61068,                 1.0423,                0.93834,                 1.3386,              0.0015776,              0.0015776,              0.0015776
                     34,                 1.2289,                 1.2265,                 1.4629,                0.79901,                0.65035,                0.77285,                0.58607,                   1.04,                0.96477,                 1.4077,              0.0015644,              0.0015644,              0.0015644
                     35,                 1.2402,                 1.2232,                 1.4652,                0.84757,                0.66105,                0.82177,                0.59027,                 1.0652,                0.98572,                 1.4321,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.2143,                 1.1922,                 1.4438,                0.76397,                0.65641,                0.77291,                0.53399,                 1.1478,                 1.2424,                 1.4846,               0.001538,               0.001538,               0.001538
                     37,                  1.253,                 1.2113,                 1.4435,                0.67347,                0.63464,                0.68853,                0.47573,                 1.3367,                 1.2514,                 1.6328,              0.0015248,              0.0015248,              0.0015248
